,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,orig_adapter
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T19:30:00Z,,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T19:40:00Z,17.6,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T19:50:00Z,17.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T20:00:00Z,17.2,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T20:10:00Z,17.1,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T20:20:00Z,16.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T20:30:00Z,16.7,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T20:40:00Z,16.6,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T20:50:00Z,16.5,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T21:00:00Z,16.6,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T21:10:00Z,16.5,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T21:20:00Z,16.2,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T21:30:00Z,16.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T21:40:00Z,16.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T21:50:00Z,16.4,temp,telemetry,Upi_iotdev_4,hono-mqtt
